,id,sku,name,type,alc,ibu,price,currency,price_estimate,rating_count,rating_value,rating_best,section,country,brewery,url,last_modified
4644,f-52daff12d187e4111c000017,52daff12d187e4111c000017,Andechs Weissbier Hell,Weizen-Weissbier,5.5 º,14 IBU,2.3,EUR,2.35,25626,3.74,5,Cervezas,Alemania,Klosterbrauerei Andechs,https://birrapedia.com/andechs-weissbier-hell/f-52daff12d187e4111c000017,2017-07-27
4645,f-54f632d6f70fb57d2c29b845,54f632d6f70fb57d2c29b845,Laugar Hop Shock Californian Pale Ale,American Ale,3.5 º,50 IBU,0,€,,2186,3.46,5,Cervezas,España,Laugar Brewery,https://birrapedia.com/laugar-hop-shock-californian-pale-ale/f-54f632d6f70fb57d2c29b845,2017-11-15
4646,f-551d62fef70fb5555df1daec,551d62fef70fb5555df1daec,Rogue Mocha Porter,Porter,5.3 º,54 IBU,0,EUR,,67286,3.59,5,Cervezas,Estados Unidos de América,Rogue Ales,https://birrapedia.com/rogue-mocha-porter/f-551d62fef70fb5555df1daec,2017-08-10
4647,f-555dcf30f70fb5f7450c5ff6,555dcf30f70fb5f7450c5ff6,Rogue Brutal IPA,India Pale Ale,6.3 º,46 IBU,64.2,EUR,64.2,90428,3.68,5,Cervezas,Estados Unidos de América,Rogue Ales,https://birrapedia.com/rogue-brutal-ipa/f-555dcf30f70fb5f7450c5ff6,2017-07-19
4648,f-53f44967d187e43759000018,53f44967d187e43759000018,Laugar Kiskale,English Brown,7.2 º,30 IBU,2.85,EUR,2.91,2613,3.49,5,Cervezas,España,Laugar Brewery,https://birrapedia.com/laugar-kiskale/f-53f44967d187e43759000018,2019-12-05
4649,f-55f1a142f70fb59e5a53488f,55f1a142f70fb59e5a53488f,Ave Maria,"Spice, Herb o Vegetable Beer",4.9 º,,2.5,EUR,2.245,230,2.68,5,Cervezas,Alemania,Brauerei Nemo Namenlos,https://birrapedia.com/ave-maria/f-55f1a142f70fb59e5a53488f,2015-09-10
4650,f-527f4e55d187e40109002c2f,527f4e55d187e40109002c2f,Brunehaut Ambree,Sin Gluten,6.5 º,17 IBU,51.03,EUR,,6756,2.95,5,Cervezas,Bélgica,Brasserie de Brunehaut,https://birrapedia.com/brunehaut-ambree/f-527f4e55d187e40109002c2f,2019-11-18
4651,f-5552236bf70fb53a2694c35e,5552236bf70fb53a2694c35e,Carlow O’Hara’s Irish Red,Irish Red Ale,4.3 º,25 IBU,1.95,EUR,2.0,45035,3.32,5,Cervezas,Gran Bretaña,Carlow,https://birrapedia.com/carlow-o-hara-s-irish-red/f-5552236bf70fb53a2694c35e,2015-10-14
4652,f-55f2b804f70fb5f82f534648,55f2b804f70fb5f82f534648,Brunehaut Blond,Belgian Blonde Ale,6.5 º,,2.01,EUR,,8814,3.16,5,Cervezas,Bélgica,Brasserie de Brunehaut,https://birrapedia.com/brunehaut-blond/f-55f2b804f70fb5f82f534648,2019-11-18
4653,f-55f6ecfaf70fb5d1170da1fd,55f6ecfaf70fb5d1170da1fd,Mikkeller I Wish Gluten Free IPA,India Pale Ale,5.5 º,,4.75,EUR,4.875,11260,3.37,5,Cervezas,Dinamarca,Mikkeller,https://birrapedia.com/mikkeller-i-wish-gluten-free-ipa/f-55f6ecfaf70fb5d1170da1fd,2018-09-28
